Day,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,16:30,17:05,17:41,19:16,19:49,20:19,20:29,20:09,19:24,18:33,17:45,16:20
2,16:31,17:07,17:42,19:17,19:50,20:20,20:29,20:08,19:23,18:31,17:44,16:20
3,16:32,17:08,17:43,19:18,19:51,20:21,20:29,20:07,19:21,18:29,17:42,16:20
4,16:33,17:09,17:44,19:19,19:52,20:21,20:29,20:06,19:19,18:27,17:41,16:20
5,16:34,17:11,17:45,19:20,19:53,20:22,20:29,20:04,19:18,18:26,17:40,16:20
6,16:35,17:12,17:46,19:21,19:54,20:23,20:28,20:03,19:16,18:24,16:39,16:19
7,16:36,17:13,17:48,19:22,19:55,20:23,20:28,20:02,19:14,18:22,16:38,16:19
8,16:37,17:14,17:49,19:23,19:56,20:24,20:28,20:01,19:13,18:21,16:37,16:19
9,16:38,17:16,17:50,19:25,19:57,20:24,20:27,19:59,19:11,18:19,16:36,16:19
10,16:39,17:17,17:51,19:26,19:59,20:25,20:27,19:58,19:09,18:17,16:35,16:19
11,16:40,17:18,17:52,19:27,20:00,20:25,20:26,19:57,19:07,18:16,16:34,16:19
12,16:41,17:20,17:53,19:28,20:01,20:26,20:26,19:55,19:06,18:14,16:33,16:20
13,16:42,17:21,18:55,19:29,20:02,20:26,20:25,19:54,19:04,18:13,16:32,16:20
14,16:43,17:22,18:56,19:30,20:03,20:27,20:25,19:52,19:02,18:11,16:31,16:20
15,16:44,17:23,18:57,19:31,20:04,20:27,20:24,19:51,19:00,18:09,16:30,16:20
16,16:45,17:25,18:58,19:32,20:05,20:28,20:23,19:50,18:59,18:08,16:29,16:20
17,16:47,17:26,18:59,19:33,20:06,20:28,20:23,19:48,18:57,18:06,16:28,16:21
18,16:48,17:27,19:00,19:35,20:07,20:28,20:22,19:47,18:55,18:05,16:27,16:21
19,16:49,17:28,19:01,19:36,20:08,20:29,20:21,19:45,18:53,18:03,16:27,16:22
20,16:50,17:30,19:02,19:37,20:09,20:29,20:21,19:44,18:52,18:02,16:26,16:22
21,16:51,17:31,19:04,19:38,20:10,20:29,20:20,19:42,18:50,18:00,16:25,16:22
22,16:53,17:32,19:05,19:39,20:11,20:29,20:19,19:40,18:48,17:59,16:25,16:23
23,16:54,17:33,19:06,19:40,20:11,20:29,20:18,19:39,18:46,17:57,16:24,16:23
24,16:55,17:34,19:07,19:41,20:12,20:30,20:17,19:37,18:45,17:56,16:23,16:24
25,16:56,17:36,19:08,19:42,20:13,20:30,20:16,19:36,18:43,17:54,16:23,16:25
26,16:58,17:37,19:09,19:43,20:14,20:30,20:15,19:34,18:41,17:53,16:22,16:25
27,16:59,17:38,19:10,19:44,20:15,20:30,20:14,19:33,18:39,17:52,16:22,16:26
28,17:00,17:39,19:11,19:46,20:16,20:30,20:13,19:31,18:38,17:50,16:21,16:27
29,17:02,,19:12,19:47,20:17,20:30,20:12,19:29,18:36,17:49,16:21,16:27
30,17:03,,19:14,19:48,20:17,20:30,20:11,19:28,18:34,17:48,16:21,16:28
31,17:04,,19:15,,20:18,,20:10,19:26,,17:46,,16:29
